region,year,yoy_increase,median_price,scenario
Autre (Québec moyen),2011,0.05,303440.5,
Autre (Québec moyen),2012,0.05,318612.6,
Autre (Québec moyen),2013,0.05,334543.2,
Autre (Québec moyen),2014,0.05,351270.3,
Autre (Québec moyen),2015,0.05,368833.9,
Autre (Québec moyen),2016,0.05,387275.6,
Autre (Québec moyen),2017,0.05,406639.3,
Autre (Québec moyen),2018,0.05,426971.3,
Autre (Québec moyen),2019,0.05,448319.9,
Autre (Québec moyen),2020,0.07,470735.9,
Autre (Québec moyen),2021,0.08,543982.4,recent
Autre (Québec moyen),2021,0.06,533908.6,average
Autre (Québec moyen),2022,0.08,582061.1,recent
Autre (Québec moyen),2022,0.06,571282.2,average
Autre (Québec moyen),2023,0.08,622805.4,recent
Autre (Québec moyen),2023,0.06,611272.0,average
Autre (Québec moyen),2024,0.08,666401.8,recent
Autre (Québec moyen),2024,0.06,654061.0,average
Autre (Québec moyen),2025,0.08,713049.9,recent
Autre (Québec moyen),2025,0.06,699845.3,average
